Site,Subasin,Quality,total_Abundance_Ajusted_elemean (+),crwalers_richness_Ajusted_slopemean (variable),%_temporary_attached (+),%_scrapers_Ajusted_tempmean (+),Richness_Diptera (-),Final IBI,class
Presa Cieneguillas ,Magdalena ,Poor,0.051349799,0.295311919,0.378220185,0.000321899,0.252340603,0.195508881,POOR
Molinos ,Magdalena ,Poor,0.801901144,0,0,0.153244042,0,0.191029037,POOR
Rancho nuevo I,Coatlaco,Poor,0.13769895,0.195984428,0.313966969,0.149369058,0,0.159403881,POOR
Nacimiento Eslava,Magdalena ,Poor,0.421816525,0.228409107,0,0.038415231,0.252340603,0.188196293,POOR
San Miguel ,San Rafael ,Poor,0.09869305,0.360010228,0.495971562,0.631675879,0.45660686,0.408591516,POOR
San Miguel Brecha ,San Rafael ,Poor,0,0.60075529,0.479007557,0.551297287,0,0.326212027,POOR
Berberechos,Magdalena ,Poor,0.243783049,0.255903811,0,0.327723051,0,0.165481982,POOR
Cieneguillas 1,Magdalena ,Poor,0.032776653,0.385189938,0.179162379,0.206663284,0,0.160758451,POOR
Cañada de cuervos,Magdalena ,Poor,0.029613134,0.236781852,0,0,0.252340603,0.103747118,POOR
Tlalmanalco ,San Rafael ,Poor,0,0.000556124,0,0.06721057,0.252340603,0.064021459,POOR
Truchero Valle de Monjas ,San Rafael ,Poor,0.65801421,0.183578878,0.573778021,0.076276617,0.252340603,0.348797666,POOR
"Valle de Monjas, Escuela ",San Rafael ,Poor,0.343390279,0.18198241,0,0.406296083,0.252340603,0.236801875,POOR
Vereda San Rafael ,San Rafael ,Poor,0.146323444,0.356293673,0.125283403,0.331744266,0,0.191928957,POOR
Xopachi ,La Colmena,Poor,0.255732918,0.459273663,0.274236285,0.37830484,0.63481743,0.400473027,POOR
